region,region_code,year,population
Nouvelle-Aquitaine,75,2002,5386308
Occitanie,76,2002,5030703
Pays de la Loire,52,2002,3314649
Provence-Alpes-Côte d'Azur,93,2002,4629496
Île-de-France,11,2002,11185563
Auvergne-Rhône-Alpes,84,2003,7173919
Bourgogne-Franche-Comté,27,2003,2756739
Bretagne,53,2003,3009249
Centre-Val-de-Loire,24,2003,2484288
Corse,94,2003,279027
France métropolitaine,FM,2003,60101841
Grand Est,44,2003,5446445
Guadeloupe,01,2003,394881
Guyane,03,2003,184792
Hauts-de-France,32,2003,5887707
La Réunion,04,2003,750840
Martinique,02,2003,391676
Normandie,28,2003,3240840
Nouvelle-Aquitaine,75,2003,5431745
Occitanie,76,2003,5099077
Pays de la Loire,52,2003,3347675
Provence-Alpes-Côte d'Azur,93,2003,4675056
Île-de-France,11,2003,11270074
Auvergne-Rhône-Alpes,84,2004,7231833
Bourgogne-Franche-Comté,27,2004,2762934
Bretagne,53,2004,3037077
Centre-Val-de-Loire,24,2004,2494279
Corse,94,2004,283972
France métropolitaine,FM,2004,60505421
Grand Est,44,2004,5458878
Guadeloupe,01,2004,396992
Guyane,03,2004,193167
Hauts-de-France,32,2004,5893957
La Réunion,04,2004,761630
Martinique,02,2004,393852
Normandie,28,2004,3249220
Nouvelle-Aquitaine,75,2004,5476513
Occitanie,76,2004,5167552
Pays de la Loire,52,2004,3379784
Provence-Alpes-Côte d'Azur,93,2004,4719132
Île-de-France,11,2004,11350290
Auvergne-Rhône-Alpes,84,2005,7295515
Bourgogne-Franche-Comté,27,2005,2771934
Bretagne,53,2005,3066585
Centre-Val-de-Loire,24,2005,2507246
Corse,94,2005,289092
France métropolitaine,FM,2005,60963264
Grand Est,44,2005,5475270
Guadeloupe,01,2005,399178
Guyane,03,2005,199206
Hauts-de-France,32,2005,5904641
La Réunion,04,2005,772907
Martinique,02,2005,395982
Normandie,28,2005,3259102
Nouvelle-Aquitaine,75,2005,5526990
Occitanie,76,2005,5240791
Pays de la Loire,52,2005,3415391
Provence-Alpes-Côte d'Azur,93,2005,4768564
Île-de-France,11,2005,11442143
Auvergne-Rhône-Alpes,84,2006,7357284
Bourgogne-Franche-Comté,27,2006,2779461
Bretagne,53,2006,3094534
Centre-Val-de-Loire,24,2006,2519567
Corse,94,2006,294118
France métropolitaine,FM,2006,61399733
Grand Est,44,2006,5490092
Guadeloupe,01,2006,400736
Guyane,03,2006,205954
Hauts-de-France,32,2006,5912999
La Réunion,04,2006,781962
Martinique,02,2006,397732
Normandie,28,2006,3267848
Nouvelle-Aquitaine,75,2006,5574821
Occitanie,76,2006,5310966
Pays de la Loire,52,2006,3450413
Provence-Alpes-Côte d'Azur,93,2006,4815232
Île-de-France,11,2006,11532398
Auvergne-Rhône-Alpes,84,2007,7405206
Bourgogne-Franche-Comté,27,2007,2792562
Bretagne,53,2007,3120288
Centre-Val-de-Loire,24,2007,2526919
Corse,94,2007,299209
France métropolitaine,FM,2007,61795238
Grand Est,44,2007,5506616
Guadeloupe,01,2007,400584
Guyane,03,2007,213031
Hauts-de-France,32,2007,5922030
La Réunion,04,2007,794107
Martinique,02,2007,397730
Normandie,28,2007,3278145
Nouvelle-Aquitaine,75,2007,5627671
Occitanie,76,2007,5371117
Pays de la Loire,52,2007,3482594
Provence-Alpes-Côte d'Azur,93,2007,4864015
Île-de-France,11,2007,11598866
Auvergne-Rhône-Alpes,84,2008,7459092
Bourgogne-Franche-Comté,27,2008,2802519
Bretagne,53,2008,3149701
Centre-Val-de-Loire,24,2008,2531588
Corse,94,2008,302966
France métropolitaine,FM,2008,62134866
Grand Est,44,2008,5521452
Guadeloupe,01,2008,401784
Guyane,03,2008,219266
Hauts-de-France,32,2008,5931091
La Réunion,04,2008,808250
Martinique,02,2008,397693
Normandie,28,2008,3293092
Nouvelle-Aquitaine,75,2008,5671076
Occitanie,76,2008,5419946
Pays de la Loire,52,2008,3510170
Provence-Alpes-Côte d'Azur,93,2008,4882913
Île-de-France,11,2008,11659260
Auvergne-Rhône-Alpes,84,2009,7518004
Bourgogne-Franche-Comté,27,2009,2810648
Bretagne,53,2009,3175064
Centre-Val-de-Loire,24,2009,2538590
Corse,94,2009,305674
France métropolitaine,FM,2009,62465709
Grand Est,44,2009,5531118
Guadeloupe,01,2009,401554
Guyane,03,2009,224469
Hauts-de-France,32,2009,5944354
La Réunion,04,2009,816364
Martinique,02,2009,396404
Normandie,28,2009,3303822
Nouvelle-Aquitaine,75,2009,5708497
Occitanie,76,2009,5473597
Pays de la Loire,52,2009,3539048
Provence-Alpes-Côte d'Azur,93,2009,4889053
Île-de-France,11,2009,11728240
Auvergne-Rhône-Alpes,84,2010,7578078
Bourgogne-Franche-Comté,27,2010,2813878
Bretagne,53,2010,3199066
Centre-Val-de-Loire,24,2010,2548065
Corse,94,2010,309693
France métropolitaine,FM,2010,62765235
Grand Est,44,2010,5532530
Guadeloupe,01,2010,403355
Guyane,03,2010,229040
