;ANNEE1;REGION;SALAIRE;REGION_NOM
1273;2019;R93;24596;Provence-Alpes-Côte d_Azur
1274;2019;R1;25319;Guadeloupe
1275;2019;R2;25054;Martinique
1276;2019;R3;25714;Guyane
1277;2019;R4;23603;La Réunion
1278;2019;E;30585;Ensemble
1279;2019;R84;29953;Auvergne-Rhône-Alpes
1280;2019;R27;27179;Bourgogne-Franche-Comté
1281;2019;R53;27295;Bretagne
1282;2019;R24;27911;Centre-Val de Loire
1283;2019;R94;26288;Corse
1284;2019;R44;27877;Grand Est
1285;2019;R32;27925;Hauts-de-France
1286;2019;R11;38194;Île-de-France
1287;2019;R28;27922;Normandie
1288;2019;R75;27516;Nouvelle-Aquitaine
1289;2019;R76;28418;Occitanie
1290;2019;R52;27692;Pays de la Loire
1291;2019;R93;29670;Provence-Alpes-Côte d_Azur
1292;2019;R1;27731;Guadeloupe
1293;2019;R2;27491;Martinique
1294;2019;R3;28419;Guyane
1295;2019;R4;25429;La Réunion
1296;2020;E;29649;Ensemble
1297;2020;R84;28789;Auvergne-Rhône-Alpes
1298;2020;R27;26123;Bourgogne-Franche-Comté
1299;2020;R53;26389;Bretagne
1300;2020;R24;26954;Centre-Val de Loire
1301;2020;R94;25777;Corse
1302;2020;R44;26780;Grand Est
1303;2020;R32;27050;Hauts-de-France
1304;2020;R11;37659;Île-de-France
1305;2020;R28;26802;Normandie
1306;2020;R75;26609;Nouvelle-Aquitaine
1307;2020;R76;27294;Occitanie
1308;2020;R52;26582;Pays de la Loire
1309;2020;R93;28552;Provence-Alpes-Côte d_Azur
1310;2020;R1;27223;Guadeloupe
1311;2020;R2;27042;Martinique
1312;2020;R3;27932;Guyane
1313;2020;R4;25068;La Réunion
1314;2020;E;26942;Ensemble
1315;2020;R84;25799;Auvergne-Rhône-Alpes
1316;2020;R27;23599;Bourgogne-Franche-Comté
1317;2020;R53;23883;Bretagne
1318;2020;R24;24535;Centre-Val de Loire
1319;2020;R94;23812;Corse
1320;2020;R44;24063;Grand Est
1321;2020;R32;24438;Hauts-de-France
1322;2020;R11;34587;Île-de-France
1323;2020;R28;24111;Normandie
1324;2020;R75;24254;Nouvelle-Aquitaine
1325;2020;R76;24623;Occitanie
1326;2020;R52;23910;Pays de la Loire
1327;2020;R93;25619;Provence-Alpes-Côte d_Azur
1328;2020;R1;25967;Guadeloupe
1329;2020;R2;25825;Martinique
1330;2020;R3;26514;Guyane
1331;2020;R4;24004;La Réunion
1332;2020;E;31568;Ensemble
1333;2020;R84;30858;Auvergne-Rhône-Alpes
1334;2020;R27;27873;Bourgogne-Franche-Comté
1335;2020;R53;28173;Bretagne
1336;2020;R24;28669;Centre-Val de Loire
1337;2020;R94;27237;Corse
1338;2020;R44;28691;Grand Est
1339;2020;R32;28695;Hauts-de-France
1340;2020;R11;39932;Île-de-France
1341;2020;R28;28607;Normandie
1342;2020;R75;28338;Nouvelle-Aquitaine
1343;2020;R76;29232;Occitanie
1344;2020;R52;28457;Pays de la Loire
1345;2020;R93;30727;Provence-Alpes-Côte d_Azur
1346;2020;R1;28341;Guadeloupe
1347;2020;R2;28124;Martinique
