ANNEE1;SEXE;REGION;SALAIRE
2003;E;R28;19445
2003;E;R75;18968
2003;E;R76;19350
2003;E;R52;18810
2003;E;R93;20278
2003;E;R1;19416
2003;E;R2;19527
2003;E;R3;22381
2003;E;R4;18578
2003;F;E;18269
2003;F;R84;17335
2003;F;R27;16221
2003;F;R53;16265
2003;F;R24;16990
2003;F;R94;16411
2003;F;R44;16530
2003;F;R32;16765
2003;F;R11;22817
2003;F;R28;16624
2003;F;R75;16547
2003;F;R76;16762
2003;F;R52;16122
2003;F;R93;17401
2003;F;R1;17649
2003;F;R2;17839
2003;F;R3;20280
2003;F;R4;17620
2003;H;E;23089
2003;H;R84;22309
2003;H;R27;20624
2003;H;R53;20504
2003;H;R24;21314
2003;H;R94;19447
2003;H;R44;21307
2003;H;R32;20959
2003;H;R11;29602
2003;H;R28;21063
2003;H;R75;20527
2003;H;R76;21023
2003;H;R52;20446
2003;H;R93;22170
2003;H;R1;20932
2003;H;R2;20917
2003;H;R3;23531
2003;H;R4;19092
2004;E;E;21705
2004;E;R84;20841
2004;E;R27;19393
2004;E;R53;19295
2004;E;R24;20035
2004;E;R94;18889
2004;E;R44;19908
2004;E;R32;20026
2004;E;R11;27442
2004;E;R28;19876
2004;E;R75;19384
2004;E;R76;19875
2004;E;R52;19289
2004;E;R93;20703
2004;E;R1;20105
2004;E;R2;20022
2004;E;R3;23052
2004;E;R4;19126
2004;F;E;18708
2004;F;R84;17735
2004;F;R27;16659
2004;F;R53;16697
2004;F;R24;17367
2004;F;R94;16920
2004;F;R44;16906
2004;F;R32;17246
2004;F;R11;23336
2004;F;R28;17066
2004;F;R75;17021
2004;F;R76;17260
2004;F;R52;16590
2004;F;R93;17841
2004;F;R1;18321
2004;F;R2;18270
2004;F;R3;22198
2004;F;R4;18268
2004;H;E;23631
2004;H;R84;22780
2004;H;R27;21062
2004;H;R53;21000
2004;H;R24;21785
2004;H;R94;20170
2004;H;R44;21756
2004;H;R32;21524
2004;H;R11;30353
2004;H;R28;21536
2004;H;R75;20946
2004;H;R76;21605
2004;H;R52;20964
2004;H;R93;22632
2004;H;R1;21634
2004;H;R2;21470
2004;H;R3;23542
2004;H;R4;19589
2005;E;E;22323
2005;E;R84;21455
2005;E;R27;19957
2005;E;R53;19897
2005;E;R24;20641
2005;E;R94;19359
2005;E;R44;20477
2005;E;R32;20559
2005;E;R11;28156
2005;E;R28;20506
2005;E;R75;19947
2005;E;R76;20524
2005;E;R52;19896
2005;E;R93;21358
2005;E;R1;20723
2005;E;R2;20527
2005;E;R3;23486
2005;E;R4;19465
2005;F;E;19348
2005;F;R84;18342
2005;F;R27;17270
2005;F;R53;17297
2005;F;R24;17997
2005;F;R94;17504
2005;F;R44;17481
2005;F;R32;17814
2005;F;R11;24104
2005;F;R28;17687
2005;F;R75;17562
2005;F;R76;17875
2005;F;R52;17183
2005;F;R93;18469
2005;F;R1;19003
2005;F;R2;18929
2005;F;R3;22392
2005;F;R4;18573
2005;H;E;24254
2005;H;R84;23405
2005;H;R27;21619
2005;H;R53;21610
2005;H;R24;22376
2005;H;R94;20536
2005;H;R44;22347
2005;H;R32;22052
2005;H;R11;31069
2005;H;R28;22182
2005;H;R75;21538
2005;H;R76;22287
2005;H;R52;21586
2005;H;R93;23319
2005;H;R1;22249
2005;H;R2;21863
2005;H;R3;24129
2005;H;R4;19942
2006;E;E;22733
2006;E;R84;21864
2006;E;R27;20261
2006;E;R53;20134
2006;E;R24;20971
2006;E;R94;19820
2006;E;R44;20819
2006;E;R32;20915
2006;E;R11;28774
2006;E;R28;20796
2006;E;R75;20327
2006;E;R76;20919
2006;E;R52;20249
2006;E;R93;21777
2006;E;R1;21026
2006;E;R2;20860
2006;E;R3;23411
2006;E;R4;19812
2006;F;E;19745
2006;F;R84;18769
2006;F;R27;17562
2006;F;R53;17577
2006;F;R24;18362
2006;F;R94;17993
2006;F;R44;17813
2006;F;R32;18166
2006;F;R11;24647
2006;F;R28;17977
2006;F;R75;17942
2006;F;R76;18274
2006;F;R52;17563
2006;F;R93;18869
2006;F;R1;19417
2006;F;R2;19354
2006;F;R3;21288
2006;F;R4;18886
2006;H;E;24677
2006;H;R84;23818
2006;H;R27;21934
2006;H;R53;21827
2006;H;R24;22691
2006;H;R94;20981
2006;H;R44;22695
2006;H;R32;22416
2006;H;R11;31739
2006;H;R28;22485
2006;H;R75;21919
2006;H;R76;22685
2006;H;R52;21933
2006;H;R93;23759
2006;H;R1;22411
2006;H;R2;22104
2006;H;R3;24677
2006;H;R4;20304
2007;E;E;23454
2007;E;R84;22539
2007;E;R27;20881
2007;E;R53;20787
2007;E;R24;21578
2007;E;R94;20274
2007;E;R44;21409
2007;E;R32;21626
2007;E;R11;29838
2007;E;R28;21460
2007;E;R75;20895
2007;E;R76;21465
2007;E;R52;20800
2007;E;R93;22432
2007;E;R1;21731
2007;E;R2;21357
2007;E;R3;24053
2007;E;R4;20324
2007;F;E;20351
2007;F;R84;19324
2007;F;R27;18204
2007;F;R53;18074
2007;F;R24;18922
2007;F;R94;18369
2007;F;R44;18375
2007;F;R32;18697
2007;F;R11;25522
2007;F;R28;18509
2007;F;R75;18452
2007;F;R76;18754
2007;F;R52;18039
2007;F;R93;19417
2007;F;R1;20118
2007;F;R2;19767
2007;F;R3;21855
2007;F;R4;19441
2007;H;E;25494
2007;H;R84;24597
2007;H;R27;22562
2007;H;R53;22600
2007;H;R24;23342
2007;H;R94;21505
2007;H;R44;23334
2007;H;R32;23248
2007;H;R11;32951
2007;H;R28;23254
2007;H;R75;22553
2007;H;R76;23302
2007;H;R52;22565
2007;H;R93;24512
2007;H;R1;23115
2007;H;R2;22662
2007;H;R3;25323
2007;H;R4;20787
2008;E;E;24176
2008;E;R84;23289
2008;E;R27;21539
2008;E;R53;21442
2008;E;R24;22239
2008;E;R94;20915
2008;E;R44;22093
2008;E;R32;22207
2008;E;R11;30719
2008;E;R28;22106
2008;E;R75;21553
2008;E;R76;22099
2008;E;R52;21496
2008;E;R93;23139
2008;E;R1;22431
2008;E;R2;22022
2008;E;R3;24175
2008;E;R4;21110
2008;F;E;20987
2008;F;R84;19942
2008;F;R27;18650
2008;F;R53;18648
2008;F;R24;19474
2008;F;R94;19022
2008;F;R44;18919
2008;F;R32;19294
2008;F;R11;26361
2008;F;R28;19057
2008;F;R75;19010
2008;F;R76;19287
2008;F;R52;18630
2008;F;R93;20044
2008;F;R1;20716
2008;F;R2;20500
2008;F;R3;22236
2008;F;R4;20023
2008;H;E;26298
2008;H;R84;25452
2008;H;R27;23370
2008;H;R53;23324
2008;H;R24;24102
2008;H;R94;22154
2008;H;R44;24131
2008;H;R32;23842
2008;H;R11;33890
2008;H;R28;23983
2008;H;R75;23303
2008;H;R76;24024
2008;H;R52;23348
2008;H;R93;25307
2008;H;R1;23878
2008;H;R2;23245
2008;H;R3;25253
2008;H;R4;21683
2009;E;E;24497
2009;E;R84;23653
2009;E;R27;21876
2009;E;R53;21788
2009;E;R24;22625
2009;E;R94;21234
2009;E;R44;22396
2009;E;R32;22619
2009;E;R11;30724
2009;E;R28;22509
2009;E;R75;21962
2009;E;R76;22555
2009;E;R52;21891
2009;E;R93;23524
2009;E;R1;22971
2009;E;R2;22680
2009;E;R3;24663
2009;E;R4;21810
2009;F;E;21413
2009;F;R84;20392
2009;F;R27;19062
2009;F;R53;19018
2009;F;R24;19918
2009;F;R94;19372
2009;F;R44;19317
2009;F;R32;19763
2009;F;R11;26708
2009;F;R28;19538
2009;F;R75;19429
2009;F;R76;19730
2009;F;R52;19054
2009;F;R93;20470
2009;F;R1;21473
2009;F;R2;21240
2009;F;R3;22884
2009;F;R4;20725
2009;H;E;26586
2009;H;R84;25803
2009;H;R27;23700
2009;H;R53;23682
2009;H;R24;24479
2009;H;R94;22475
2009;H;R44;24429
2009;H;R32;24263
2009;H;R11;33666
2009;H;R28;24367
2009;H;R75;23729
2009;H;R76;24527
2009;H;R52;23756
2009;H;R93;25699
2009;H;R1;24253
2009;H;R2;23872
2009;H;R3;25679
2009;H;R4;22420
2010;E;E;24992
2010;E;R84;24075
2010;E;R27;22249
2010;E;R53;22222
2010;E;R24;22978
2010;E;R94;21686
2010;E;R44;22787
2010;E;R32;23030
2010;E;R11;31505
2010;E;R28;22849
2010;E;R75;22479
2010;E;R76;22944
2010;E;R52;22268
2010;E;R93;24082
2010;E;R1;23526
2010;E;R2;23196
2010;E;R3;25054
2010;E;R4;22220
2010;F;E;21889
2010;F;R84;20804
2010;F;R27;19404
2010;F;R53;19440
2010;F;R24;20267
2010;F;R94;19673
2010;F;R44;19717
2010;F;R32;20135
2010;F;R11;27431
2010;F;R28;19895
2010;F;R75;20074
2010;F;R76;20102
2010;F;R52;19444
2010;F;R93;20900
2010;F;R1;21918
2010;F;R2;21638
2010;F;R3;23169
2010;F;R4;21181
2010;H;E;27120
2010;H;R84;26264
2010;H;R27;24121
2010;H;R53;24145
2010;H;R24;24856
2010;H;R94;23053
2010;H;R44;24839
2010;H;R32;24725
2010;H;R11;34525
2010;H;R28;24725
2010;H;R75;24184
2010;H;R76;24954
2010;H;R52;24149
2010;H;R93;26386
2010;H;R1;24936
2010;H;R2;24536
2010;H;R3;26172
2010;H;R4;22824
2011;E;E;25611
2011;E;R84;24725
2011;E;R27;22871
2011;E;R53;22656
2011;E;R24;23533
2011;E;R94;22121
2011;E;R44;23299
2011;E;R32;23591
2011;E;R11;32394
2011;E;R28;23434
2011;E;R75;22909
2011;E;R76;23533
2011;E;R52;22807
2011;E;R93;24577
2011;E;R1;24041
2011;E;R2;23733
2011;E;R3;25498
2011;E;R4;22471
2011;F;E;22466
2011;F;R84;21421
2011;F;R27;19919
2011;F;R53;19874
2011;F;R24;20780
2011;F;R94;20148
2011;F;R44;20169
2011;F;R32;20652
2011;F;R11;28256
2011;F;R28;20420
2011;F;R75;20342
2011;F;R76;20639
2011;F;R52;19959
2011;F;R93;21460
2011;F;R1;22539
2011;F;R2;22210
2011;F;R3;23794
2011;F;R4;21386
2011;H;E;27764
2011;H;R84;26925
2011;H;R27;24668
2011;H;R53;24579
2011;H;R24;25435
2011;H;R94;23467
2011;H;R44;25384
2011;H;R32;25315
2011;H;R11;35458
2011;H;R28;25342
2011;H;R75;24724
2011;H;R76;25573
2011;H;R52;24701
2011;H;R93;26829
2011;H;R1;25346
2011;H;R2;25043
2011;H;R3;26491
2011;H;R4;23120
2012;E;E;26000
2012;E;R84;25049
2012;E;R27;23141
2012;E;R53;23010
2012;E;R24;23897
2012;E;R94;22610
2012;E;R44;23655
2012;E;R32;23968
2012;E;R11;32803
2012;E;R28;23805
2012;E;R75;23255
2012;E;R76;24003
2012;E;R52;23232
2012;E;R93;24965
2012;E;R1;24576
2012;E;R2;24197
2012;E;R3;25845
2012;E;R4;22990
2012;F;E;22868
2012;F;R84;21771
2012;F;R27;20249
2012;F;R53;20240
2012;F;R24;21152
2012;F;R94;20497
2012;F;R44;20550
2012;F;R32;21006
2012;F;R11;28778
2012;F;R28;20756
2012;F;R75;20670
2012;F;R76;21041
2012;F;R52;20374
2012;F;R93;21796
2012;F;R1;23129
2012;F;R2;22652
2012;F;R3;24241
2012;F;R4;21863
2012;H;E;28160
2012;H;R84;27247
2012;H;R27;25060
2012;H;R53;24937
2012;H;R24;25800
2012;H;R94;24071
2012;H;R44;25738
2012;H;R32;25725
2012;H;R11;35792
2012;H;R28;25754
2012;H;R75;25099
2012;H;R76;26105
2012;H;R52;25142
2012;H;R93;27277
2012;H;R1;25817
2012;H;R2;25525
2012;H;R3;26768
2012;H;R4;23673
2013;E;E;26166
2013;E;R84;25280
2013;E;R27;23251
2013;E;R53;23209
2013;E;R24;24053
2013;E;R94;22813
2013;E;R44;23777
2013;E;R32;24120
2013;E;R11;32874
2013;E;R28;23991
2013;E;R75;23450
2013;E;R76;24285
2013;E;R52;23367
2013;E;R93;25119
2013;E;R1;24767
2013;E;R2;24442
2013;E;R3;26021
2013;E;R4;23160
2013;F;E;23085
2013;F;R84;22015
2013;F;R27;20435
2013;F;R53;20473
2013;F;R24;21367
2013;F;R94;20611
2013;F;R44;20729
2013;F;R32;21238
2013;F;R11;29013
2013;F;R28;20965
2013;F;R75;20904
2013;F;R76;21260
2013;F;R52;20540
2013;F;R93;21961
2013;F;R1;23207
2013;F;R2;22906
2013;F;R3;24464
2013;F;R4;22013
2013;H;E;28311
2013;H;R84;27495
2013;H;R27;25143
2013;H;R53;25128
2013;H;R24;25929
2013;H;R94;24365
2013;H;R44;25853
2013;H;R32;25854
2013;H;R11;35753
2013;H;R28;25953
2013;H;R75;25280
2013;H;R76;26452
2013;H;R52;25281
2013;H;R93;27450
2013;H;R1;26142
2013;H;R2;25775
2013;H;R3;26928
2013;H;R4;23874
2014;E;E;26435
2014;E;R84;25576
2014;E;R27;23453
2014;E;R53;23429
2014;E;R24;24292
2014;E;R94;22975
2014;E;R44;24018
2014;E;R32;24345
2014;E;R11;33258
2014;E;R28;24194
2014;E;R75;23657
2014;E;R76;24450
2014;E;R52;23617
2014;E;R93;25384
2014;E;R1;24999
2014;E;R2;24665
2014;E;R3;26018
2014;E;R4;23256
2014;F;E;23417
2014;F;R84;22345
2014;F;R27;20673
2014;F;R53;20746
2014;F;R24;21640
2014;F;R94;20801
2014;F;R44;21004
2014;F;R32;21499
2014;F;R11;29501
2014;F;R28;21252
2014;F;R75;21159
2014;F;R76;21557
2014;F;R52;20827
2014;F;R93;22298
2014;F;R1;23479
2014;F;R2;23179
2014;F;R3;24538
2014;F;R4;22137
2014;H;E;28553
2014;H;R84;27783
2014;H;R27;25342
2014;H;R53;25324
2014;H;R24;26155
2014;H;R94;24531
2014;H;R44;26091
2014;H;R32;26076
2014;H;R11;36070
2014;H;R28;26120
2014;H;R75;25467
2014;H;R76;26537
2014;H;R52;25522
2014;H;R93;27678
2014;H;R1;26338
2014;H;R2;25971
2014;H;R3;26896
2014;H;R4;23958
2015;E;E;26743
2015;E;R84;25846
2015;E;R27;23666
2015;E;R53;23663
2015;E;R24;24572
2015;E;R94;23137
2015;E;R44;24252
2015;E;R32;24562
2015;E;R11;33735
2015;E;R28;24419
2015;E;R75;23921
2015;E;R76;24762
2015;E;R52;23869
2015;E;R93;25631
2015;E;R1;25243
2015;E;R2;24967
2015;E;R3;26478
2015;E;R4;23223
2015;F;E;23707
2015;F;R84;22609
2015;F;R27;20937
2015;F;R53;20981
2015;F;R24;21894
2015;F;R94;21032
2015;F;R44;21237
2015;F;R32;21729
2015;F;R11;29945
2015;F;R28;21481
2015;F;R75;21427
2015;F;R76;21803
2015;F;R52;21065
2015;F;R93;22525
2015;F;R1;23720
2015;F;R2;23426
2015;F;R3;24667
2015;F;R4;22066
2015;H;E;28891
2015;H;R84;28078
2015;H;R27;25538
2015;H;R53;25575
2015;H;R24;26471
2015;H;R94;24669
2015;H;R44;26356
2015;H;R32;26301
2015;H;R11;36582
2015;H;R28;26371
2015;H;R75;25746
2015;H;R76;26908
2015;H;R52;25805
2015;H;R93;27952
2015;H;R1;26603
2015;H;R2;26315
2015;H;R3;27583
2015;H;R4;23959
2016;E;E;26901
2016;E;R84;26095
2016;E;R27;23821
2016;E;R53;23858
2016;E;R24;24696
2016;E;R94;23474
2016;E;R44;24333
2016;E;R32;24644
2016;E;R11;33901
2016;E;R28;24530
2016;E;R75;24074
2016;E;R76;24883
2016;E;R52;24085
2016;E;R93;25769
2016;E;R1;25385
2016;E;R2;25131
2016;E;R3;26488
2016;E;R4;23330
2016;F;E;23929
2016;F;R84;22867
2016;F;R27;21087
2016;F;R53;21211
2016;F;R24;22086
2016;F;R94;21322
2016;F;R44;21416
2016;F;R32;21879
2016;F;R11;30251
2016;F;R28;21651
2016;F;R75;21582
2016;F;R76;21999
2016;F;R52;21305
2016;F;R93;22718
2016;F;R1;23780
2016;F;R2;23642
2016;F;R3;24853
2016;F;R4;22247
2016;H;E;29013
2016;H;R84;28332
2016;H;R27;25700
2016;H;R53;25753
2016;H;R24;26551
2016;H;R94;25058
2016;H;R44;26382
2016;H;R32;26359
2016;H;R11;36649
2016;H;R28;26455
2016;H;R75;25906
2016;H;R76;26980
2016;H;R52;26008
2016;H;R93;28056
2016;H;R1;26854
2016;H;R2;26456
2016;H;R3;27507
2016;H;R4;24023
2017;E;E;27426
2017;E;R84;26601
2017;E;R27;24240
2017;E;R53;24320
2017;E;R24;25089
2017;E;R94;23902
2017;E;R44;24769
2017;E;R32;25099
2017;E;R11;34598
2017;E;R28;24942
2017;E;R75;24513
2017;E;R76;25358
2017;E;R52;24543
2017;E;R93;26326
2017;E;R1;25820
2017;E;R2;25552
2017;E;R3;27100
2017;E;R4;24035
2017;F;E;24553
2017;F;R84;23487
2017;F;R27;21640
2017;F;R53;21789
2017;F;R24;22548
2017;F;R94;21803
2017;F;R44;21934
2017;F;R32;22432
2017;F;R11;31053
2017;F;R28;22163
2017;F;R75;22096
2017;F;R76;22613
2017;F;R52;21866
2017;F;R93;23347
2017;F;R1;24381
2017;F;R2;24195
2017;F;R3;25522
2017;F;R4;22912
2017;H;E;29458
2017;H;R84;28744
2017;H;R27;26017
2017;H;R53;26125
2017;H;R24;26884
2017;H;R94;25476
2017;H;R44;26752
2017;H;R32;26749
2017;H;R11;37250
2017;H;R28;26795
2017;H;R75;26277
2017;H;R76;27344
2017;H;R52;26395
2017;H;R93;28544
2017;H;R1;27141
2017;H;R2;26760
2017;H;R3;28089
2017;H;R4;24758
2018;E;E;28024
2018;E;R84;27209
2018;E;R27;24697
2018;E;R53;24859
2018;E;R24;25553
2018;E;R94;24186
2018;E;R44;25290
2018;E;R32;25586
2018;E;R11;35377
2018;E;R28;25390
2018;E;R75;25105
2018;E;R76;25858
2018;E;R52;25125
2018;E;R93;26904
2018;E;R1;26493
2018;E;R2;26252
2018;E;R3;27124
2018;E;R4;24375
2018;F;E;25158
2018;F;R84;24077
2018;F;R27;22041
2018;F;R53;22357
2018;F;R24;23017
2018;F;R94;22245
2018;F;R44;22449
2018;F;R32;22902
2018;F;R11;31946
2018;F;R28;22616
2018;F;R75;22670
2018;F;R76;23039
2018;F;R52;22410
2018;F;R93;23910
2018;F;R1;25114
2018;F;R2;24841
2018;F;R3;25438
2018;F;R4;23260
2018;H;E;30053
2018;H;R84;29373
2018;H;R27;26524
2018;H;R53;26647
2018;H;R24;27349
2018;H;R94;25649
2018;H;R44;27280
2018;H;R32;27256
2018;H;R11;37928
2018;H;R28;27244
2018;H;R75;26890
2018;H;R76;27894
2018;H;R52;27011
2018;H;R93;29132
2018;H;R1;27742
2018;H;R2;27520
2018;H;R3;28162
2018;H;R4;25102
2019;E;E;28631
2019;E;R84;27841
2019;E;R27;25370
2019;E;R53;25512
2019;E;R24;26144
2019;E;R94;24793
2019;E;R44;25916
2019;E;R32;26237
2019;E;R11;35902
2019;E;R28;26060
2019;E;R75;25758
2019;E;R76;26455
2019;E;R52;25807
2019;E;R93;27507
2019;E;R1;26592
2019;E;R2;26337
