GEO;GEO_OBJECT;AGE;SEX;EDUC;STUD_AREA;RP_MEASURE;FREQ;TIME_PERIOD;OBS_VALUE;GEO_str;region_nom
52;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;221699.85012;52;Pays de la Loire
01;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;41063.09031;01;Guadeloupe
11;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;666059.05456;11;Île-de-France
76;REG;Y_GE15;_T;700_RP;_Z;POP;A;2022;517724.77978;76;Occitanie
02;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;28616.01501;02;Martinique
32;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;1018827.56539;32;Hauts-de-France
32;REG;Y_GE15;F;_T;_Z;POP;A;2022;2272762.35139;32;Hauts-de-France
11;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;390892.21834;11;Île-de-France
11;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;418582.02083;11;Île-de-France
03;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;5279.02068;03;Guyane
76;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;156137.13253;76;Occitanie
53;REG;Y_GE15;_T;_T;_Z;POP;A;2022;2565254.87862;53;Bretagne
32;REG;Y_GE15;F;300_RP;_Z;POP;A;2022;478655.3139;32;Hauts-de-France
03;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;11906.39738;03;Guyane
03;REG;Y_GE15;F;500_RP;_Z;POP;A;2022;5812.97023;03;Guyane
52;REG;Y_GE15;_T;300_RP;_Z;POP;A;2022;784965.0794;52;Pays de la Loire
84;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;177688.83417;84;Auvergne-Rhône-Alpes
03;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;6099.42179;03;Guyane
84;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;379330.18949;84;Auvergne-Rhône-Alpes
94;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;12161.05514;94;Corse
44;REG;Y_GE15;_T;001T100_RP;_Z;POP;A;2022;888015.50088;44;Grand Est
53;REG;Y_GE15;_T;600_RP;_Z;POP;A;2022;270772.50134;53;Bretagne
94;REG;Y_GE15;F;001T100_RP;_Z;POP;A;2022;27884.04689;94;Corse
04;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;18288.03587;04;La Réunion
93;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;226341.78097;93;Provence-Alpes-Côte d'Azur
01;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;9271.48562;01;Guadeloupe
52;REG;Y_GE15;F;_T;_Z;POP;A;2022;1481635.02844;52;Pays de la Loire
53;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;108426.68878;53;Bretagne
75;REG;Y_GE15;_T;350T351_RP;_Z;POP;A;2022;867413.1849;75;Nouvelle-Aquitaine
52;REG;Y_GE15;M;350T351_RP;_Z;POP;A;2022;246826.17216;52;Pays de la Loire
44;REG;Y_GE15;F;_T;_Z;POP;A;2022;2157650.66306;44;Grand Est
04;REG;Y_GE15;M;500_RP;_Z;POP;A;2022;22062.25816;04;La Réunion
84;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;244226.33588;84;Auvergne-Rhône-Alpes
84;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;121424.2314;84;Auvergne-Rhône-Alpes
02;REG;Y_GE15;F;700_RP;_Z;POP;A;2022;12324.96697;02;Martinique
93;REG;Y_GE15;M;700_RP;_Z;POP;A;2022;242405.115;93;Provence-Alpes-Côte d'Azur
93;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;155713.08884;93;Provence-Alpes-Côte d'Azur
01;REG;Y_GE15;M;600_RP;_Z;POP;A;2022;7940.61933;01;Guadeloupe
02;REG;Y_GE15;F;200_RP;_Z;POP;A;2022;9750.30256;02;Martinique
93;REG;Y_GE15;F;350T351_RP;_Z;POP;A;2022;399072.13525;93;Provence-Alpes-Côte d'Azur
27;REG;Y_GE15;M;200_RP;_Z;POP;A;2022;45328.08365;27;Bourgogne-Franche-Comté
01;REG;Y_GE15;_T;200_RP;_Z;POP;A;2022;15979.5165;01;Guadeloupe
04;REG;Y_GE15;M;001T100_RP;_Z;POP;A;2022;97619.10497;04;La Réunion
