"FREQ";"GEO";"GEO_OBJECT";"LEGAL_FORM";"SIDE_MEASURE";"TIME_PERIOD";"OBS_VALUE"
"A";"31";"DEP";"MICRO";"BURE";2021;17238
"A";"86";"DEP";"54";"BURE";2019;366
"A";"76";"REG";"MICRO";"BURE";2016;28671
"A";"01";"REG";"MICRO";"BURE";2016;1202
"A";"51";"DEP";"ENTIND_X_MICRO";"BURE";2018;1287
"A";"06";"DEP";"OTH_SIDE";"BURE";2016;235
"A";"40";"DEP";"54";"BURE";2017;448
"A";"971";"DEP";"MICRO";"BURE";2016;1202
"A";"57";"DEP";"57";"BURE";2016;1110
"A";"11";"DEP";"57";"BURE";2016;514
"A";"72";"DEP";"OTH_SIDE";"BURE";2015;59
"A";"67";"DEP";"54";"BURE";2015;1374
"A";"94";"DEP";"ENTIND_X_MICRO";"BURE";2016;1683
"A";"56";"DEP";"54";"BURE";2015;842
"A";"83";"DEP";"54";"BURE";2023;1330
"A";"17";"DEP";"54";"BURE";2024;810
"A";"19";"DEP";"MICRO";"BURE";2024;1769
"A";"93";"DEP";"ENTIND_X_MICRO";"BURE";2022;3001
"A";"22";"DEP";"OTH_SIDE";"BURE";2024;211
"A";"04";"REG";"_T";"BURE";2014;6819
"A";"55";"DEP";"OTH_SIDE";"BURE";2022;17
"A";"30";"DEP";"ENTIND_X_MICRO";"BURE";2022;1227
"A";"79";"DEP";"57";"BURE";2023;392
"A";"35";"DEP";"54";"BURE";2024;1477
"A";"94";"DEP";"57";"BURE";2024;6542
"A";"71";"DEP";"ENTIND_X_MICRO";"BURE";2022;861
"A";"974";"DEP";"MICRO";"BURE";2020;4202
"A";"08";"DEP";"MICRO";"BURE";2019;953
"A";"03";"DEP";"ENTIND_X_MICRO";"BURE";2022;609
"A";"12";"DEP";"54";"BURE";2020;205
"A";"39";"DEP";"ENTIND_X_MICRO";"BURE";2021;549
"A";"75";"DEP";"OTH_SIDE";"BURE";2021;2698
"A";"15";"DEP";"ENTIND_X_MICRO";"BURE";2019;238
"A";"86";"DEP";"ENTIND_X_MICRO";"BURE";2021;923
"A";"2A";"DEP";"OTH_SIDE";"BURE";2019;71
"A";"70";"DEP";"57";"BURE";2021;249
"A";"19";"DEP";"54";"BURE";2020;131
"A";"80";"DEP";"OTH_SIDE";"BURE";2021;170
"A";"43";"DEP";"_T";"BURE";2018;1561
"A";"06";"REG";"_T";"BURE";2017;957
"A";"71";"DEP";"_T";"BURE";2014;3580
"A";"973";"DEP";"_T";"BURE";2024;3540
"A";"48";"DEP";"_T";"BURE";2018;494
"A";"58";"DEP";"_T";"BURE";2024;2015
"A";"08";"DEP";"_T";"BURE";2018;1640
"A";"67";"DEP";"_T";"BURE";2018;10659
"A";"28";"DEP";"_T";"BURE";2020;4043
"A";"F";"FRANCE";"ENTIND_X_MICRO";"BURE";2016;120955
"A";"64";"DEP";"_T";"BURE";2015;6074
"A";"32";"REG";"_T";"BURE";2021;67335
"A";"57";"DEP";"OTH_SIDE";"BURE";2013;105
"A";"26";"DEP";"54";"BURE";2013;746
"A";"93";"DEP";"OTH_SIDE";"BURE";2013;126
"A";"21";"DEP";"MICRO";"BURE";2012;2108
"A";"40";"DEP";"54";"BURE";2012;603
"A";"93";"DEP";"MICRO";"BURE";2013;7403
"A";"70";"DEP";"57";"BURE";2012;23
"A";"27";"REG";"OTH_SIDE";"BURE";2012;397
"A";"65";"DEP";"57";"BURE";2012;60
"A";"2A";"DEP";"OTH_SIDE";"BURE";2013;42
"A";"42";"DEP";"MICRO";"BURE";2014;2684
"A";"47";"DEP";"54";"BURE";2014;364
"A";"07";"DEP";"54";"BURE";2017;268
"A";"90";"DEP";"57";"BURE";2015;97
"A";"37";"DEP";"54";"BURE";2015;618
"A";"36";"DEP";"54";"BURE";2015;145
"A";"88";"DEP";"OTH_SIDE";"BURE";2017;48
