creations_per_1000,Taux de chômage par région,chomage_carre,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
10.98,7.55,57.0025,11.37,0.07,24188.0,2021,Normandie
10.98,7.55,57.0025,11.37,0.07,28590.0,2021,Normandie
10.63,6.825,46.580625000000005,11.37,0.33,27903.0,2022,Normandie
10.63,6.825,46.580625000000005,11.37,0.33,25271.0,2022,Normandie
10.63,6.825,46.580625000000005,11.37,0.33,29707.0,2022,Normandie
10.67,6.825,46.580625000000005,11.37,0.01,29047.0,2023,Normandie
10.67,6.825,46.580625000000005,11.37,0.01,26379.0,2023,Normandie
10.67,6.825,46.580625000000005,11.37,0.01,30885.0,2023,Normandie
5.76,12.575,158.13062499999998,11.84,0.06,24562.0,2015,Hauts-de-France
5.76,12.575,158.13062499999998,11.84,0.06,21729.0,2015,Hauts-de-France
5.76,12.575,158.13062499999998,11.84,0.06,26301.0,2015,Hauts-de-France
6.06,12.2,148.83999999999997,11.84,-0.05,24644.0,2016,Hauts-de-France
6.06,12.2,148.83999999999997,11.84,-0.05,21879.0,2016,Hauts-de-France
6.06,12.2,148.83999999999997,11.84,-0.05,26359.0,2016,Hauts-de-France
6.54,11.625,135.140625,11.84,-0.05,25099.0,2017,Hauts-de-France
6.54,11.625,135.140625,11.84,-0.05,22432.0,2017,Hauts-de-France
6.54,11.625,135.140625,11.84,-0.05,26749.0,2017,Hauts-de-France
7.47,11.2,125.43999999999998,11.84,0.0,25586.0,2018,Hauts-de-France
7.47,11.2,125.43999999999998,11.84,0.0,22902.0,2018,Hauts-de-France
7.47,11.2,125.43999999999998,11.84,0.0,27256.0,2018,Hauts-de-France
8.91,10.4,108.16000000000001,11.84,0.01,26237.0,2019,Hauts-de-France
8.91,10.4,108.16000000000001,11.84,0.01,23539.0,2019,Hauts-de-France
8.91,10.4,108.16000000000001,11.84,0.01,27925.0,2019,Hauts-de-France
9.44,9.625,92.640625,11.84,-0.12,27050.0,2020,Hauts-de-France
9.44,9.625,92.640625,11.84,-0.12,24438.0,2020,Hauts-de-France
9.44,9.625,92.640625,11.84,-0.12,28695.0,2020,Hauts-de-France
11.23,9.35,87.4225,11.84,-0.04,27015.0,2021,Hauts-de-France
11.23,9.35,87.4225,11.84,-0.04,24397.0,2021,Hauts-de-France
11.23,9.35,87.4225,11.84,-0.04,28667.0,2021,Hauts-de-France
10.99,8.8,77.44000000000001,11.84,0.06,28018.0,2022,Hauts-de-France
10.99,8.8,77.44000000000001,11.84,0.06,25407.0,2022,Hauts-de-France
10.99,8.8,77.44000000000001,11.84,0.06,29702.0,2022,Hauts-de-France
10.83,9.025,81.450625,11.84,-0.14,29221.0,2023,Hauts-de-France
10.83,9.025,81.450625,11.84,-0.14,26565.0,2023,Hauts-de-France
10.83,9.025,81.450625,11.84,-0.14,30947.0,2023,Hauts-de-France
6.07,10.25,105.0625,12.96,0.08,24252.0,2015,Grand Est
6.07,10.25,105.0625,12.96,0.08,21237.0,2015,Grand Est
6.07,10.25,105.0625,12.96,0.08,26356.0,2015,Grand Est
6.47,9.925,98.50562500000001,12.96,-0.07,24333.0,2016,Grand Est
6.47,9.925,98.50562500000001,12.96,-0.07,21416.0,2016,Grand Est
6.47,9.925,98.50562500000001,12.96,-0.07,26382.0,2016,Grand Est
6.96,9.225,85.100625,12.96,-0.1,24769.0,2017,Grand Est
6.96,9.225,85.100625,12.96,-0.1,21934.0,2017,Grand Est
